"Model","Hull type","Category","Sailboat builder","Sailboat designer","Country","Construction","First built hull","Last built hull","Appendages","Helm","Rudder","Unsinkable","Trailerable","EC design category","Standard public price ex. VAT (indicative only)","Hull length","Beam (width)","Draft","Light displacement (MLC)","Upwind sail area","Downwind sail area","Mainsail area","Genoa area","Asymmetric spinnaker area","Rigging type","Mast configuration","Rotating spars","Number of levels of spreaders","Spreaders angle","Spars construction","Upwind sail area to displacement","Downwind sail area to displacement","Engine(s)","Engine(s) power","Fuel type","Cockpit","Cabin(s) (min./max.)","Berth(s) (min./max.)","Head(s)","Version","Waterline length","Ballast weight","Ballast type","Symmetric spinnaker area","I","J","P","E","HN (French rating)","Displacement-length ratio (DLR)","Ballast ratio","Critical hull speed","Fuel tank capacity","Berth(s)","Freshwater tank capacity","Maximum headroom","Draft when appendages up","Overall length","Cabin(s)","Fridge/ice-box capacity","Head headroom","Berth length","Berth width","Mast height from DWL","Standing rigging","Engine(s) power (min./max.)","Galley headroom","Saloon table length","Saloon table width (min./max.)","Chart table","Berth width (head/elbows/knees/feet)","French customs tonnage","Holding tank capacity","Sailboat collection","Number of hulls built","Jib area","Solent area","IOR rating","Waterline beam (width)","Staysail area","Righting moment @ 1°","Righting moment @ 30°","Award(s)","Head(s) (min./max.)","Boiler capacity","Former French navigation category","Saloon table width","Maximum displacement (MLDC)","Capacity","Mizzen sail area","Gennaker area","Code 0 area","Code 5 area","Fore freeboard","Mid-ship freeboard","Wetted area","Maximum transverse section","Stormjib area","Saloon width (min./max.)","Berth width (head/feet)","Folding type","Overall width folded","Overall length folded","Sailboat range","Running backstays","Yankee area","Crew","D-PN rating","Maximum righting moment","PY (Portsmouth Yardstick) rating","Water ballast","Water ballast capacity","Trapezes","Saloon width","Mizzen staysail area","Prismatic coefficient","source"
"Bénéteau 323","Monohull","Cruising sailboat","Bénéteau","Finot Conq Architectes","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich balsa fiberglass polyester","2003","2007","Keel : L-shaped keel (with bulb)","Single helm wheel","Single spade rudder","No","No","B","N/A €","32’9.75 m","10’ 8”3.26 m","4’ 10”1.45 m","9568 lb4340 kg","546 ft²50.7 m²","1096 ft²101.8 m²","305 ft²28.3 m²","241 ft²22.4 m²","","Sloop Marconi 9/10","Deck stepped mast","No","1","25 °","Aluminum spars","205 ft²/T19.06 m²/T","412 ft²/T38.26 m²/T","1 inboard engine","","Diesel","Closed aft cockpit","","4  / 6","1","Shoal draft","29’ 2”8.89 m","2414 lb1095 kg","Cast iron","791 ft²73.5 m²","42’ 8”13.01 m","11’ 1”3.37 m","38’ 11”11.86 m","13’ 2”4.02 m","","175","25 %","7.24 knots","19.8 gal75 liters","","42.3 gal160 liters","6’1.83 m","","32’ 10”10.01 m","2","15.9 gal60 liters","6’1.82 m","6’ 8”2.05 m","6’ 2”1.9 m","48’ 7”14.82 m","1x19 strand wire continuous","18 HP / 21 HP","6’ 2”1.9 m","","","2’ 4”0.7 m x 1’ 7”0.5 m","","10.34 Tx","","","","","","","","","","","","","5.8 gal22 liters","","","","","","","","","","","","","","","5’ 2”1.58 m / 2’ 4”0.7 m","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bénéteau 323","Monohull","Cruising sailboat","Bénéteau","Finot Conq Architectes","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich balsa fiberglass polyester","2003","2007","Keel : L-shaped keel (with bulb)","Single helm wheel","Single spade rudder","No","No","B","N/A €","32’9.75 m","10’ 8”3.26 m","5’ 11”1.8 m","9326 lb4230 kg","546 ft²50.7 m²","1096 ft²101.8 m²","305 ft²28.3 m²","241 ft²22.4 m²","","Sloop Marconi 9/10","Deck stepped mast","No","1","25 °","Aluminum spars","209 ft²/T19.38 m²/T","419 ft²/T38.92 m²/T","1 inboard engine","","Diesel","Closed aft cockpit","","4  / 6","1","Deep draft","29’ 2”8.89 m","2178 lb988 kg","Cast iron","791 ft²73.5 m²","42’ 8”13.01 m","11’ 1”3.37 m","38’ 11”11.86 m","13’ 2”4.02 m","","170","23 %","7.24 knots","19.8 gal75 liters","","42.3 gal160 liters","6’1.83 m","","32’ 10”10.01 m","2","15.9 gal60 liters","6’1.82 m","6’ 8”2.05 m","6’ 2”1.9 m","48’ 7”14.82 m","1x19 strand wire continuous","18 HP / 21 HP","6’ 2”1.9 m","","","2’ 4”0.7 m x 1’ 7”0.5 m","","10.34 Tx","","","","","","","","","","","","","5.8 gal22 liters","","","","","","","","","","","","","","","5’ 2”1.58 m / 2’ 4”0.7 m","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bénéteau 323","Monohull","Cruising sailboat","Bénéteau","Finot Conq Architectes","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich balsa fiberglass polyester","2003","2007","Centerboard : pivoting centerboard in the keel","Single helm wheel","Single spade rudder","No","No","B","N/A €","32’9.75 m","10’ 8”3.26 m","6’ 7”2 m","9568 lb4340 kg","546 ft²50.7 m²","1096 ft²101.8 m²","305 ft²28.3 m²","241 ft²22.4 m²","","Sloop Marconi 9/10","Deck stepped mast","No","1","25 °","Aluminum spars","205 ft²/T19.06 m²/T","412 ft²/T38.26 m²/T","1 inboard engine","","Diesel","Closed aft cockpit","","4  / 6","1","Keel and centerboard","29’ 2”8.89 m","2414 lb1095 kg","Cast iron exterior ballast with steel centerboard","791 ft²73.5 m²","42’ 8”13.01 m","11’ 1”3.37 m","38’ 11”11.86 m","13’ 2”4.02 m","","175","25 %","7.24 knots","19.8 gal75 liters","","42.3 gal160 liters","6’1.83 m","2’ 7”0.8 m","32’ 10”10.01 m","2","15.9 gal60 liters","6’1.82 m","6’ 8”2.05 m","6’ 2”1.9 m","48’ 7”14.82 m","1x19 strand wire continuous","18 HP / 21 HP","6’ 2”1.9 m","","","2’ 4”0.7 m x 1’ 7”0.5 m","","10.34 Tx","","","","","","","","","","","","","5.8 gal22 liters","","","","","","","","","","","","","","","5’ 2”1.58 m / 2’ 4”0.7 m","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bénéteau 34.7","Monohull","Cruiser-racer sailboat","Bénéteau","Farr Yacht Design","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich balsa fiberglass polyester","2005","2009","Keel : T-shaped keel (with bulb)","Single helm wheel","Single spade rudder","No","No","A","N/A €","32’ 10”9.99 m","11’ 1”3.37 m","6’ 7”2 m","9965 lb4520 kg","757 ft²70.3 m²","","380 ft²35.3 m²","377 ft²35 m²","","Sloop Marconi 9/10","Keel stepped mast","No","2","20 °","Aluminum spars","277 ft²/T25.72 m²/T","","1 inboard engine","21 HP","Diesel","Closed aft cockpit","","","1","Deep draft","28’ 7”8.73 m","3682 lb1670 kg","Lead","","43’ 2”13.17 m","12’3.67 m","42’12.8 m","14’ 8”4.49 m","26.5","192","37 %","7.17 knots","19.8 gal75 liters","5","26.4 gal100 liters","5’ 11”1.8 m","","34’10.36 m","1","18.5 gal70 liters","5’ 8”1.75 m","6’ 5”1.95 m","5’ 5”1.65 m","51’ 10”15.8 m","Dyform","","5’ 11”1.8 m","","","","","11.00 Tx","21.1 gal80 liters","","125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bénéteau 343","Monohull","Cruising sailboat","Bénéteau","Berret Racoupeau Yachts Design","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich balsa fiberglass polyester","2004","2008","Keel : L-shaped keel (with bulb)","Single helm wheel","Single spade rudder","No","No","A","N/A €","34’ 1”10.38 m","11’ 5”3.48 m","6’ 2”1.9 m","13448 lb6100 kg","649 ft²60.3 m²","1245 ft²115.65 m²","304 ft²28.2 m²","346 ft²32.1 m²","","Sloop Marconi 9/10","Deck stepped mast","No","2","Swept-back","Aluminum spars","194 ft²/T18.06 m²/T","373 ft²/T34.64 m²/T","1 inboard engine","","Diesel","Closing aft cockpit with opening system","2  / 3","4  / 8","1","Deep draft","30’ 10”9.4 m","3402 lb1543 kg","Cast iron","941 ft²87.45 m²","43’ 5”13.24 m","12’ 10”3.9 m","39’ 1”11.93 m","13’ 7”4.14 m","","208","25 %","7.44 knots","19.8 gal75 liters","","67.4 gal255 liters","6’ 7”2.02 m","","35’ 6”10.82 m","","34.3 gal130 liters","6’ 7”2 m","6’ 7”2.01 m","4’ 6”1.36 m","49’ 5”15.06 m","1x19 strand wire discontinuous","21 HP / 29 HP","6’ 6”1.98 m","","","","","","21.1 gal80 liters","","","","","","","","","","","","6.6 gal25 liters","","","","","","","","","","","","","","","5’ 5”1.66 m / 1’ 4”0.4 m","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bénéteau 343","Monohull","Cruising sailboat","Bénéteau","Berret Racoupeau Yachts Design","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich balsa fiberglass polyester","2004","2008","Keel : L-shaped keel (with bulb)","Single helm wheel","Single spade rudder","No","No","A","N/A €","34’ 1”10.38 m","11’ 5”3.48 m","4’ 10”1.45 m","14374 lb6520 kg","649 ft²60.3 m²","1245 ft²115.65 m²","304 ft²28.2 m²","346 ft²32.1 m²","","Sloop Marconi 9/10","Deck stepped mast","No","2","Swept-back","Aluminum spars","186 ft²/T17.28 m²/T","357 ft²/T33.14 m²/T","1 inboard engine","","Diesel","Closing aft cockpit with opening system","2  / 3","4  / 8","1","Shoal draft","30’ 10”9.4 m","4321 lb1960 kg","Cast iron","941 ft²87.45 m²","43’ 5”13.24 m","12’ 10”3.9 m","39’ 1”11.93 m","13’ 7”4.14 m","","222","30 %","7.44 knots","19.8 gal75 liters","","67.4 gal255 liters","6’ 7”2.02 m","","35’ 6”10.82 m","","34.3 gal130 liters","6’ 7”2 m","6’ 7”2.01 m","4’ 6”1.36 m","49’ 5”15.06 m","1x19 strand wire discontinuous","21 HP / 29 HP","6’ 6”1.98 m","","","","","","21.1 gal80 liters","","","","","","","","","","","","6.6 gal25 liters","","","","","","","","","","","","","","","5’ 5”1.66 m / 1’ 4”0.4 m","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bénéteau 343","Monohull","Cruising sailboat","Bénéteau","Berret Racoupeau Yachts Design","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich balsa fiberglass polyester","2004","2008","Centerboard : pivoting centerboard in the keel","Single helm wheel","Single spade rudder","No","No","A","N/A €","34’ 1”10.38 m","11’ 5”3.48 m","8’ 6”2.6 m","14374 lb6520 kg","649 ft²60.3 m²","1245 ft²115.65 m²","304 ft²28.2 m²","346 ft²32.1 m²","","Sloop Marconi 9/10","Deck stepped mast","No","2","Swept-back","Aluminum spars","186 ft²/T17.28 m²/T","357 ft²/T33.14 m²/T","1 inboard engine","","Diesel","Closing aft cockpit with opening system","2  / 3","4  / 8","1","Keel and centerboard","30’ 10”9.4 m","4321 lb1960 kg","Cast iron exterior ballast with steel centerboard","941 ft²87.45 m²","43’ 5”13.24 m","12’ 10”3.9 m","39’ 1”11.93 m","13’ 7”4.14 m","","222","30 %","7.44 knots","19.8 gal75 liters","","67.4 gal255 liters","6’ 7”2.02 m","3’ 11”1.2 m","35’ 6”10.82 m","","34.3 gal130 liters","6’ 7”2 m","6’ 7”2.01 m","4’ 6”1.36 m","49’ 5”15.06 m","1x19 strand wire discontinuous","21 HP / 29 HP","6’ 6”1.98 m","","","","","","21.1 gal80 liters","","","","","","","","","","","","6.6 gal25 liters","","","","","","","","","","","","","","","5’ 5”1.66 m / 1’ 4”0.4 m","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bénéteau 461","Monohull","Offshore cruising sailboat","Bénéteau","Farr Yacht Design","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich balsa fiberglass polyester","1995","2000","Keel : L-shaped keel (with bulb)","Single helm wheel","Single spade rudder","No","No","A","N/A €","45’ 1”13.76 m","13’ 6”4.12 m","5’ 8”1.75 m","20944 lb9500 kg","1089 ft²101.2 m²","","473 ft²43.9 m²","617 ft²57.3 m²","","Sloop Marconi masthead","Keel stepped mast","No","2","Swept-back","Aluminum spars","243 ft²/T22.56 m²/T","","1 inboard engine","","Diesel","Closed aft cockpit","2  / 4","4  / 10","","Classic","39’11.9 m","7496 lb3400 kg","Cast iron","","54’ 6”16.62 m","15’ 11”4.86 m","46’ 11”14.3 m","17’ 1”5.2 m","","160","36 %","8.37 knots","52.8 gal200 liters","","217.9 gal825 liters","6’ 5”1.96 m","","45’ 11”14 m","","","","6’ 7”2 m","4’ 7”1.4 m","59’ 1”18 m","1x19 strand wire discontinuous","48 HP / 85 HP","","","","","","20.02 Tx","29.1 gal110 liters","","210","","","","","","","","1997: Cruising World - Boat of the Year: Full-Size Cruiser","2  / 3","11.1 gal42 liters","","","","","","","","","","","","","","","4’ 10”1.45 m / 3’ 7”1.1 m","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bénéteau 461","Monohull","Offshore cruising sailboat","Bénéteau","Farr Yacht Design","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich balsa fiberglass polyester","1995","2000","Keel : L-shaped keel (with bulb)","Single helm wheel","Single spade rudder","No","No","A","N/A €","45’ 1”13.76 m","13’ 6”4.12 m","5’ 8”1.75 m","20944 lb9500 kg","1009 ft²93.7 m²","","392 ft²36.4 m²","617 ft²57.3 m²","","Sloop Marconi (in-mast furling mainsail) masthead","Keel stepped mast","No","2","Swept-back","Aluminum spars","225 ft²/T20.89 m²/T","","1 inboard engine","","Diesel","Closed aft cockpit","2  / 4","4  / 10","","Furling mainsail","39’11.9 m","7496 lb3400 kg","Cast iron","","54’ 6”16.62 m","15’ 11”4.86 m","46’ 8”14.22 m","17’ 1”5.2 m","","160","36 %","8.37 knots","52.8 gal200 liters","","217.9 gal825 liters","6’ 5”1.96 m","","45’ 11”14 m","","","","6’ 7”2 m","4’ 7”1.4 m","59’ 1”18 m","1x19 strand wire discontinuous","48 HP / 85 HP","","","","","","20.02 Tx","29.1 gal110 liters","","210","","","","","","","","1997: Cruising World - Boat of the Year: Full-Size Cruiser","2  / 3","11.1 gal42 liters","","","","","","","","","","","","","","","4’ 10”1.45 m / 3’ 7”1.1 m","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bénéteau R/C 27","Monohull","Cruiser-racer sailboat","Bénéteau","Bureau Mauric","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich  fiberglass polyester","1978","1980","Keel : fin without bulb","Single tiller","Single spade rudder","No","No","","N/A €","26’ 1”7.95 m","9’ 10”3 m","4’ 5”1.35 m","5291 lb2400 kg","436 ft²40.5 m²","753 ft²70 m²","161 ft²15 m²","274 ft²25.5 m²","","Sloop Marconi masthead","Deck stepped mast","No","1","0 °","Aluminum spars","243 ft²/T22.59 m²/T","420 ft²/T39.05 m²/T","1 outboard or inboard engine","","","Closed aft cockpit","","","1","Shoal draft","21’ 6”6.55 m","1984 lb900 kg","Cast iron","592 ft²55 m²","34’10.36 m","10’3.05 m","29’ 6”9 m","9’ 2”2.8 m","10.0","242","38 %","6.21 knots","6.6 gal25 liters","6","23.8 gal90 liters","4’ 8”1.42 m","","27’ 7”8.4 m","1","","5’ 1”1.56 m","6’ 8”2.03 m","5’ 5”1.65 m","37’ 1”11.3 m","1x19 strand wire continuous","8 HP / 16 HP","5’ 11”1.8 m","3’0.92 m","","2’ 10”0.84 m x 2’0.6 m","","5.90 Tx","","","About 70","161 ft²15 m²","215 ft²20 m²","18.5","","","","","","","","2","2’ 5”0.74 m","","","","","","","","","","","32 ft²3 m²","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bénéteau R/C 27","Monohull","Cruiser-racer sailboat","Bénéteau","Bureau Mauric","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich  fiberglass polyester","1978","1980","Keel : fin without bulb","Single tiller","Single spade rudder","No","No","","N/A €","26’ 1”7.95 m","9’ 10”3 m","5’ 1”1.55 m","5291 lb2400 kg","436 ft²40.5 m²","753 ft²70 m²","161 ft²15 m²","274 ft²25.5 m²","","Sloop Marconi masthead","Deck stepped mast","No","1","0 °","Aluminum spars","243 ft²/T22.59 m²/T","420 ft²/T39.05 m²/T","1 outboard or inboard engine","","","Closed aft cockpit","","","1","Deep draft","21’ 6”6.55 m","1984 lb900 kg","Cast iron","592 ft²55 m²","34’10.36 m","10’3.05 m","29’ 6”9 m","9’ 2”2.8 m","10.0","242","38 %","6.21 knots","6.6 gal25 liters","6","23.8 gal90 liters","4’ 8”1.42 m","","27’ 7”8.4 m","1","","5’ 1”1.56 m","6’ 8”2.03 m","5’ 5”1.65 m","37’ 1”11.3 m","1x19 strand wire continuous","8 HP / 16 HP","5’ 11”1.8 m","3’0.92 m","","2’ 10”0.84 m x 2’0.6 m","","5.90 Tx","","","About 70","161 ft²15 m²","215 ft²20 m²","18.5","","","","","","","","2","2’ 5”0.74 m","","","","","","","","","","","32 ft²3 m²","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bénéteau R/C 30","Monohull","Cruiser-racer sailboat","Bénéteau","Bureau Mauric","France","GRP (glass reinforced polyester): Single skin  fiberglass polyester","1977","1981","Keel : fin without bulb","Single tiller","Single semi-spade rudder","No","No","","N/A €","28’ 11”8.8 m","9’ 5”2.86 m","5’ 8”1.73 m","7826 lb3550 kg","524 ft²48.65 m²","922 ft²85.65 m²","168 ft²15.65 m²","355 ft²33 m²","","Sloop Marconi masthead","Deck stepped mast","No","1","0 °","Aluminum spars","225 ft²/T20.91 m²/T","396 ft²/T36.81 m²/T","1 inboard engine","15 HP","Diesel","Closed aft cockpit","","","1","Fin keel","25’ 5”7.75 m","3748 lb1700 kg","Cast iron","753 ft²70 m²","36’ 8”11.2 m","11’ 2”3.4 m","32’9.75 m","11’3.35 m","14.5","216","48 %","6.76 knots","7.9 gal30 liters","7","23.8 gal90 liters","5’1.52 m","","29’ 5”8.95 m","1","","5’ 5”1.64 m","5’ 11”1.8 m","3’0.9 m","39’ 10”12.12 m","1x19 strand wire continuous","","","3’ 6”1.07 m","","2’ 10”0.84 m x 1’ 10”0.55 m","","7.10 Tx","","Half Ton class","969","274 ft²25.5 m²","","","7’ 11”2.41 m","","400 lb.ft55 kg.m","","","","","2","2’ 7”0.78 m","8995 lb4080 kg","","","","","","3’ 1”0.95 m","3’ 1”0.95 m","185 ft²17.2 m²","11 ft²1.02 m²","","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bénéteau R/C 32","Monohull","Cruiser-racer sailboat","Bénéteau","Jean Berret","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich  fiberglass polyester","1980","1984","Keel : fin without bulb","Single tiller","Single spade rudder","No","No","","N/A €","31’ 6”9.6 m","11’ 1”3.37 m","4’ 5”1.35 m","8378 lb3800 kg","616 ft²57.2 m²","1054 ft²97.9 m²","225 ft²20.9 m²","391 ft²36.3 m²","","Sloop Marconi masthead","Deck stepped mast","No","2","0 °","Aluminum spars","253 ft²/T23.49 m²/T","433 ft²/T40.2 m²/T","1 inboard engine","","Diesel","Closed aft cockpit","","4  / 5","1","Shoal draft","27’ 11”8.5 m","3638 lb1650 kg","Cast iron","829 ft²77 m²","","","","","17.0","175","43 %","7.08 knots","11.9 gal45 liters","","52.8 gal200 liters","6’1.83 m","","33’ 11”10.33 m","2","","","","","","1x19 strand wire","15 HP / 25 HP","","","","","","9.00 Tx","","","About 500","242 ft²22.5 m²","316 ft²29.4 m²","","","","","","","","","2","","","","","","","","","","","","62 ft²5.75 m²","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bénéteau R/C 32","Monohull","Cruiser-racer sailboat","Bénéteau","Jean Berret","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich  fiberglass polyester","1980","1984","Keel : fin without bulb","Single tiller","Single spade rudder","No","No","","N/A €","31’ 6”9.6 m","11’ 1”3.37 m","5’ 11”1.8 m","8378 lb3800 kg","616 ft²57.2 m²","1054 ft²97.9 m²","225 ft²20.9 m²","391 ft²36.3 m²","","Sloop Marconi masthead","Deck stepped mast","No","2","0 °","Aluminum spars","253 ft²/T23.49 m²/T","433 ft²/T40.2 m²/T","1 inboard engine","","Diesel","Closed aft cockpit","","4  / 5","1","Deep draft","27’ 11”8.5 m","3638 lb1650 kg","Cast iron","829 ft²77 m²","","","","","17.0","175","43 %","7.08 knots","11.9 gal45 liters","","52.8 gal200 liters","6’1.83 m","","33’ 11”10.33 m","2","","","","","","1x19 strand wire","15 HP / 25 HP","","","","","","9.00 Tx","","","About 500","242 ft²22.5 m²","316 ft²29.4 m²","","","","","","","","","2","","","","","","","","","","","","62 ft²5.75 m²","","","","","","","","","","","","","","","","","","","https://www.boat-specs.com/"
"Bénéteau R/C 42","Monohull","Offshore cruiser-racer sailboat","Bénéteau","Frers  Naval Architecture & Engineering","France","GRP (glass reinforced polyester):  - Hull: Single skin  fiberglass polyester  - Deck: Sandwich balsa fiberglass polyester","1981","1985","Keel : fin without bulb","Single helm wheel","Single spade rudder","No","No","","N/A €","41’ 11”12.77 m","13’ 1”4 m","7’ 1”2.15 m","20944 lb9500 kg","1109 ft²103 m²","1970 ft²183 m²","398 ft²37 m²","710 ft²66 m²","","Sloop Marconi masthead","Deck stepped mast","No","2","Swept-back","Aluminum spars","247 ft²/T22.96 m²/T","439 ft²/T40.8 m²/T","1 inboard engine","50 HP","Diesel","Closed aft cockpit","2  / 3","6  / 8","","S / Deep draft","36’ 2”11.04 m","7937 lb3600 kg","Cast iron","1572 ft²146 m²","55’ 5”16.9 m","16’ 8”5.1 m","49’ 2”15 m","14’ 7”4.45 m","25.5","200","38 %","8.06 knots","39.6 gal150 liters","","105.7 gal400 liters","6’ 4”1.92 m","","43’ 4”13.2 m","","","","","","57’ 4”17.45 m","","","","","","","","16.14 Tx","","","","353 ft²32.8 m²","484 ft²45 m²","32.7","11’ 2”3.4 m","","","","","1  / 2","11.1 gal42 liters","1","","22377 lb10150 kg","","","","","","4’ 1”1.25 m","3’ 6”1.06 m","375 ft²34.8 m²","21 ft²1.95 m²","154 ft²14.3 m²","","","","","","","1 set(s)","","","","","","","","","","","","https://www.boat-specs.com/"
